set type n m type run random randomTime ratio ratioTime
mpi 1 250 5000 1 6 16822 0 16549 0
mpi 1 250 5000 1 7 18350 0 18054 0
mpi 1 250 5000 1 8 17724 0 17647 0
mpi 1 250 5000 1 9 15890 0 15416 0
mpi 1 250 500 1 1 14699 0 15647 0
mpi 1 250 500 1 10 13817 0 15144 0
mpi 1 250 500 1 2 13768 0 15734 0
mpi 1 250 500 1 3 14972 0 16668 0
mpi 1 250 500 1 4 15202 0 15670 0
mpi 1 250 500 1 5 13826 0 14970 0
mpi 1 250 500 1 6 14393 0 16404 0
mpi 1 250 500 1 7 14830 0 15582 0
mpi 1 250 500 1 8 14746 0 16047 0
mpi 1 250 500 1 9 14940 0 15921 0
mpi 1 250 750 1 1 15498 0 16694 0
mpi 1 250 750 1 10 16142 0 16794 0
mpi 1 250 750 1 2 15195 0 15343 0
mpi 1 250 750 1 3 15277 0 16161 0
mpi 1 250 750 1 4 14956 0 15824 0
mpi 1 250 750 1 5 14889 0 14991 0
mpi 1 250 750 1 6 15269 0 16794 0
mpi 1 250 750 1 7 15401 0 17195 0
mpi 1 250 750 1 8 15657 0 16242 0
mpi 1 250 750 1 9 15776 0 16057 0
mpi 1 300 1000 1 1 18215 0 18555 0
mpi 1 300 1000 1 10 17600 0 19339 0
mpi 1 300 1000 1 2 19028 0 18712 0
mpi 1 300 1000 1 3 18571 0 19579 0
mpi 1 300 1000 1 4 18378 0 17844 0
mpi 1 300 1000 1 5 18603 0 20521 0
mpi 1 300 1000 1 6 19326 0 20226 0
mpi 1 300 1000 1 7 18334 0 20037 0
mpi 1 300 1000 1 8 18760 0 18752 0
mpi 1 300 1000 1 9 17889 0 17478 0
mpi 1 300 2000 1 1 20204 0 20802 0
mpi 1 300 2000 1 10 18433 0 18914 0
mpi 1 300 2000 1 2 20238 0 20427 0
mpi 1 300 2000 1 3 20243 0 20261 0
mpi 1 300 2000 1 4 19527 0 19449 0
mpi 1 300 2000 1 5 19796 0 20359 0
mpi 1 300 2000 1 6 20459 0 20887 0
mpi 1 300 2000 1 7 20063 0 19915 0
mpi 1 300 2000 1 8 20382 0 20567 0
mpi 1 300 2000 1 9 20293 0 20431 0
mpi 1 300 3000 1 1 20664 0 20978 0
mpi 1 300 3000 1 10 20126 0 20620 0
mpi 1 300 3000 1 2 20344 0 20079 0
mpi 1 300 3000 1 3 20049 0 20844 0
mpi 1 300 3000 1 4 20237 0 19421 0
mpi 1 300 3000 1 5 20319 0 20471 0
mpi 1 300 3000 1 6 20804 0 21102 0
mpi 1 300 3000 1 7 20301 0 20380 0
mpi 1 300 3000 1 8 20030 0 19775 0
mpi 1 300 3000 1 9 20474 0 20466 0
mpi 1 300 300 1 1 15002 0 15250 0
mpi 1 300 300 1 10 14272 0 15548 0
mpi 1 300 300 1 2 15810 0 17746 0
mpi 1 300 300 1 3 13714 0 16100 0
mpi 1 300 300 1 4 13178 0 16335 0
mpi 1 300 300 1 5 13104 0 15973 0
mpi 1 300 300 1 6 13847 0 16640 0
mpi 1 300 300 1 7 15299 0 16611 0
mpi 1 300 300 1 8 14442 0 17088 0
mpi 1 300 300 1 9 15106 0 16052 0
mpi 1 300 5000 1 1 20712 0 20596 0
mpi 1 300 5000 1 10 20440 0 19877 0
mpi 1 300 5000 1 2 20221 0 20386 0
mpi 1 300 5000 1 3 21246 0 21533 0
mpi 1 300 5000 1 4 20047 0 19808 0
mpi 1 300 5000 1 5 20897 0 20921 0
mpi 1 300 5000 1 6 20322 0 20453 0
mpi 1 300 5000 1 7 21747 0 21815 0
mpi 1 300 5000 1 8 20634 0 20312 0
mpi 1 300 5000 1 9 20063 0 19928 0
mpi 1 300 500 1 1 16689 0 18982 0
mpi 1 300 500 1 10 17239 0 17029 0
mpi 1 300 500 1 2 18513 0 19166 0
mpi 1 300 500 1 3 16736 0 18820 0
mpi 1 300 500 1 4 15464 0 17399 0
mpi 1 300 500 1 5 15977 0 17634 0
mpi 1 300 500 1 6 16906 0 17147 0
mpi 1 300 500 1 7 15024 0 16820 0
mpi 1 300 500 1 8 16903 0 19041 0
mpi 1 300 500 1 9 16391 0 19655 0
mpi 1 300 750 1 1 18423 0 19863 0
mpi 1 300 750 1 10 17417 0 17949 0
mpi 1 300 750 1 2 17698 0 19039 0
mpi 1 300 750 1 3 17792 0 19027 0
mpi 1 300 750 1 4 18425 0 20301 0
mpi 1 300 750 1 5 17547 0 19275 0
mpi 1 300 750 1 6 18332 0 18884 0
mpi 1 300 750 1 7 17925 0 19738 0
mpi 1 300 750 1 8 18704 0 20569 0
mpi 1 300 750 1 9 18423 0 20966 0
mpi 1 50 1000 1 1 3687 0 3600 0
mpi 1 50 1000 1 10 3573 0 3538 0
mpi 1 50 1000 1 2 3000 0 2876 0
mpi 1 50 1000 1 3 3229 0 3036 0
mpi 1 50 1000 1 4 3644 0 3605 0
mpi 1 50 1000 1 5 3281 0 3110 0
mpi 1 50 1000 1 6 3413 0 3377 0
mpi 1 50 1000 1 7 3054 0 2963 0
mpi 1 50 1000 1 8 3313 0 3137 0
mpi 1 50 1000 1 9 3300 0 3232 0
mpi 1 50 100 1 1 2750 0 2526 0
mpi 1 50 100 1 10 2588 0 2427 0
mpi 1 50 100 1 2 2671 0 2114 0
mpi 1 50 100 1 3 2587 0 2452 0
mpi 1 50 100 1 4 2657 0 2566 0
mpi 1 50 100 1 5 3121 0 2656 0
mpi 1 50 100 1 6 2818 0 2126 0
mpi 1 50 100 1 7 2772 0 2440 0
mpi 1 50 100 1 8 3282 0 2589 0
mpi 1 50 100 1 9 3098 0 2576 0
mpi 1 50 250 1 1 3221 0 3289 0
mpi 1 50 250 1 10 3325 0 3034 0
mpi 1 50 250 1 2 3393 0 3556 0
mpi 1 50 250 1 3 3033 0 2957 0
mpi 1 50 250 1 4 3291 0 3456 0
mpi 1 50 250 1 5 2903 0 2706 0
mpi 1 50 250 1 6 3072 0 3134 0
mpi 1 50 250 1 7 3261 0 2952 0
mpi 1 50 250 1 8 2796 0 2647 0
mpi 1 50 250 1 9 2960 0 2972 0
mpi 1 50 500 1 1 3116 0 2851 0
mpi 1 50 500 1 10 3232 0 2894 0
mpi 1 50 500 1 2 3494 0 3350 0
mpi 1 50 500 1 3 3301 0 3240 0
mpi 1 50 500 1 4 3134 0 3160 0
mpi 1 50 500 1 5 3472 0 3361 0
mpi 1 50 500 1 6 3591 0 3556 0
mpi 1 50 500 1 7 2990 0 2766 0
mpi 1 50 500 1 8 3383 0 3279 0
mpi 1 50 500 1 9 3317 0 3317 0
mpi 1 50 50 1 1 1943 0 1687 0
mpi 1 50 50 1 10 2490 0 2947 0
mpi 1 50 50 1 2 2345 0 2506 0
mpi 1 50 50 1 3 2287 0 2041 0
mpi 1 50 50 1 4 2741 0 2919 0
mpi 1 50 50 1 5 1917 0 1796 0
mpi 1 50 50 1 6 2161 0 1931 0
mpi 1 50 50 1 7 2104 0 1532 0
mpi 1 50 50 1 8 2546 0 2360 0
mpi 1 50 50 1 9 2888 0 3464 0
mpi 1 50 750 1 1 3485 0 3311 0
mpi 1 50 750 1 10 3049 0 2978 0
mpi 1 50 750 1 2 3374 0 3238 0
mpi 1 50 750 1 3 3364 0 3317 0
mpi 1 50 750 1 4 3410 0 3328 0
mpi 1 50 750 1 5 3306 0 3259 0
mpi 1 50 750 1 6 3196 0 3062 0
mpi 1 50 750 1 7 4000 0 3615 0
mpi 1 50 750 1 8 3156 0 2998 0
mpi 1 50 750 1 9 3398 0 3251 0
