name n m type run obj time
mpi 300 300 1 10 7325 0.000000
mpi 300 300 1 2 7667 0.001000
mpi 300 300 1 3 7373 0.004000
mpi 300 300 1 4 7106 0.000000
mpi 300 300 1 5 6928 0.009000
mpi 300 300 1 6 7489 0.001000
mpi 300 300 1 7 7826 0.004000
mpi 300 300 1 8 7306 0.000000
mpi 300 300 1 9 7892 0.001000
mpi 300 5000 1 1 17474 0.018000
mpi 300 5000 1 10 17206 0.037000
mpi 300 5000 1 2 17236 0.049000
mpi 300 5000 1 3 18022 0.013000
mpi 300 5000 1 4 16702 0.006000
mpi 300 5000 1 5 17705 0.285000
mpi 300 5000 1 6 17384 0.036000
mpi 300 5000 1 7 18466 0.025000
mpi 300 5000 1 8 17255 0.001000
mpi 300 5000 1 9 16960 0.016000
mpi 300 500 1 1 9129 0.001000
mpi 300 500 1 10 9499 0.001000
mpi 300 500 1 2 10508 0.003000
mpi 300 500 1 3 9283 0.003000
mpi 300 500 1 4 9364 0.001000
mpi 300 500 1 5 8911 0.000000
mpi 300 500 1 6 9560 0.001000
mpi 300 500 1 7 8796 0.002000
mpi 300 500 1 8 9675 0.013000
mpi 300 500 1 9 10143 0.003000
mpi 300 750 1 1 11551 0.013000
mpi 300 750 1 10 10138 0.002000
mpi 300 750 1 2 10870 0.002000
mpi 300 750 1 3 11266 0.003000
mpi 300 750 1 4 11173 0.002000
mpi 300 750 1 5 10767 0.005000
mpi 300 750 1 6 11281 0.004000
mpi 300 750 1 7 11151 0.004000
mpi 300 750 1 8 11482 0.002000
mpi 300 750 1 9 11796 0.003000
mpi 50 1000 1 1 3401 0.000000
mpi 50 1000 1 10 3299 0.000000
mpi 50 1000 1 2 2801 0.000000
mpi 50 1000 1 3 2917 0.000000
mpi 50 1000 1 4 3349 0.000000
mpi 50 1000 1 5 3007 0.001000
mpi 50 1000 1 6 3074 0.000000
mpi 50 1000 1 7 2879 0.001000
mpi 50 1000 1 8 3007 0.000000
mpi 50 1000 1 9 3026 0.000000
mpi 50 100 1 1 1446 0.000000
mpi 50 100 1 10 1576 0.000000
mpi 50 100 1 2 1574 0.000000
mpi 50 100 1 3 1506 0.000000
mpi 50 100 1 4 1533 0.000000
mpi 50 100 1 5 1729 0.000000
mpi 50 100 1 6 1590 0.000000
mpi 50 100 1 7 1644 0.000000
mpi 50 100 1 8 1790 0.000000
mpi 50 100 1 9 1785 0.000000
mpi 50 250 1 1 2430 0.000000
mpi 50 250 1 10 2489 0.018000
mpi 50 250 1 2 2573 0.000000
mpi 50 250 1 3 2184 0.000000
mpi 50 250 1 4 2494 0.000000
mpi 50 250 1 5 1997 0.000000
mpi 50 250 1 6 2179 0.001000
mpi 50 250 1 7 2419 0.004000
mpi 50 250 1 8 2065 0.000000
mpi 50 250 1 9 2096 0.000000
mpi 50 500 1 1 2566 0.000000
mpi 50 500 1 10 2562 0.000000
mpi 50 500 1 2 2848 0.000000
mpi 50 500 1 3 2687 0.000000
mpi 50 500 1 4 2572 0.000000
mpi 50 500 1 5 2763 0.000000
mpi 50 500 1 6 2940 0.000000
mpi 50 500 1 7 2482 0.000000
mpi 50 500 1 8 2785 0.001000
mpi 50 500 1 9 2762 0.000000
mpi 50 50 1 1 1045 0.000000
mpi 50 50 1 10 1200 0.000000
mpi 50 50 1 2 1335 0.000000
mpi 50 50 1 3 1087 0.000000
mpi 50 50 1 4 1379 0.000000
mpi 50 50 1 5 1120 0.000000
mpi 50 50 1 6 1082 0.000000
mpi 50 50 1 7 959 0.000000
mpi 50 50 1 8 1259 0.000000
mpi 50 50 1 9 1670 0.001000
mpi 50 750 1 1 3123 0.000000
mpi 50 750 1 10 2673 0.000000
mpi 50 750 1 2 2954 0.000000
mpi 50 750 1 3 2960 0.000000
mpi 50 750 1 4 3041 0.001000
mpi 50 750 1 5 2851 0.001000
mpi 50 750 1 6 2847 0.000000
mpi 50 750 1 7 3429 0.000000
mpi 50 750 1 8 2726 0.000000
mpi 50 750 1 9 2983 0.000000
